date,state,location,fuel_type,price_cpl
2026-04-14,QLD,Brisbane,diesel,292.8
2026-04-14,QLD,Brisbane,e10,195.9
2026-04-14,QLD,Brisbane,p95,207.3
2026-04-14,QLD,Brisbane,p98,220.7
2026-04-14,QLD,Brisbane,ulp91,191.5
2026-04-14,VIC,Melbourne,diesel,293.5
2026-04-14,VIC,Melbourne,p98,224.5
2026-04-14,VIC,Melbourne,ulp91,192.6
2026-04-14,WA,Perth,diesel,278.1
2026-04-14,WA,Perth,p95,204.8
2026-04-14,WA,Perth,p98,214.8
2026-04-14,WA,Perth,ulp91,193.7
2026-04-15,QLD,Brisbane,diesel,265.2
2026-04-15,QLD,Brisbane,e10,192.2
2026-04-15,QLD,Brisbane,p95,203.4
2026-04-15,QLD,Brisbane,p98,216.8
2026-04-15,QLD,Brisbane,ulp91,188.0
2026-04-15,VIC,Melbourne,diesel,257.2
2026-04-15,VIC,Melbourne,e10,192.8
2026-04-15,VIC,Melbourne,p95,203.3
2026-04-15,VIC,Melbourne,p98,221.7
2026-04-15,VIC,Melbourne,ulp91,191.8
2026-04-15,WA,Perth,diesel,267.4
2026-04-15,WA,Perth,p95,198.4
2026-04-15,WA,Perth,p98,208.5
2026-04-15,WA,Perth,ulp91,187.4
2026-04-16,QLD,Brisbane,diesel,250.3
2026-04-16,QLD,Brisbane,e10,185.6
2026-04-16,QLD,Brisbane,p95,199.0
2026-04-16,QLD,Brisbane,p98,212.4
2026-04-16,QLD,Brisbane,ulp91,184.2
2026-04-16,WA,Perth,diesel,259.0
2026-04-16,WA,Perth,p95,198.1
2026-04-16,WA,Perth,p98,208.2
2026-04-16,WA,Perth,ulp91,187.1
2026-04-17,VIC,Melbourne,diesel,247.2
2026-04-17,VIC,Melbourne,e10,185.4
2026-04-17,VIC,Melbourne,p95,192.5
2026-04-17,VIC,Melbourne,p98,211.4
2026-04-17,VIC,Melbourne,ulp91,182.6
2026-04-17,WA,Perth,diesel,252.3
2026-04-17,WA,Perth,p95,195.2
2026-04-17,WA,Perth,p98,205.2
2026-04-17,WA,Perth,ulp91,184.1
2026-04-18,QLD,Brisbane,diesel,237.6
2026-04-18,QLD,Brisbane,e10,182.4
2026-04-18,QLD,Brisbane,p95,194.5
2026-04-18,QLD,Brisbane,p98,207.8
2026-04-18,QLD,Brisbane,ulp91,181.0
2026-04-20,QLD,Brisbane,diesel,238.0
2026-04-20,QLD,Brisbane,e10,182.5
2026-04-20,QLD,Brisbane,p95,194.5
2026-04-20,QLD,Brisbane,p98,207.9
2026-04-20,QLD,Brisbane,ulp91,181.1
2026-04-20,WA,Perth,diesel,244.1
2026-04-20,WA,Perth,p95,193.8
2026-04-20,WA,Perth,p98,203.8
2026-04-20,WA,Perth,ulp91,182.8
2026-04-21,QLD,Brisbane,diesel,225.1
2026-04-21,QLD,Brisbane,e10,180.4
2026-04-21,QLD,Brisbane,p95,192.7
2026-04-21,QLD,Brisbane,p98,206.1
2026-04-21,QLD,Brisbane,ulp91,179.0
2026-04-21,WA,Perth,diesel,230.5
2026-04-21,WA,Perth,p95,190.2
2026-04-21,WA,Perth,p98,200.2
2026-04-21,WA,Perth,ulp91,179.2
2026-04-22,QLD,Brisbane,diesel,216.7
2026-04-22,QLD,Brisbane,e10,178.8
2026-04-22,QLD,Brisbane,p95,191.0
2026-04-22,QLD,Brisbane,p98,204.4
2026-04-22,QLD,Brisbane,ulp91,177.4
2026-04-22,VIC,Melbourne,diesel,227.1
2026-04-22,VIC,Melbourne,e10,183.9
2026-04-22,VIC,Melbourne,p95,191.5
2026-04-22,VIC,Melbourne,p98,208.9
2026-04-22,VIC,Melbourne,ulp91,180.1
2026-04-22,WA,Perth,diesel,220.5
2026-04-22,WA,Perth,p95,187.1
2026-04-22,WA,Perth,p98,197.2
2026-04-22,WA,Perth,ulp91,176.1
2026-04-23,QLD,Brisbane,diesel,211.2
2026-04-23,QLD,Brisbane,e10,177.8
2026-04-23,QLD,Brisbane,p95,189.5
